TSLA,2017/05/21,15:01,45.32
TSLA,2017/05/21,15:02,15.32
TSLA,2017/05/21,15:03,45.32
TSLA,2017/05/21,15:04,15.32
TSLA,2017/05/21,15:05,45.32
TSLA,2017/05/21,15:06,15.32
TSLA,2017/05/21,15:07,45.32
TSLA,2017/05/21,15:08,5.32
TSLA,2017/05/21,15:09,55.32
TSLA,2017/05/21,15:09,5.32
GOOG,2017/05/21,15:01,45.32
GOOG,2017/05/21,15:02,15.32
GOOG,2017/05/21,15:03,45.32
GOOG,2017/05/21,15:04,15.32
GOOG,2017/05/21,15:05,45.32
GOOG,2017/05/21,15:06,15.32
GOOG,2017/05/21,15:07,45.32
GOOG,2017/05/21,15:08,5.32
GOOG,2017/05/21,15:09,55.32
GOOG,2017/05/21,15:09,5.32
GOOG,2017/05/22,15:01,45.32
GOOG,2017/05/22,15:02,45.32
GOOG,2017/05/22,15:03,45.32
GOOG,2017/05/22,15:04,45.32
GOOG,2017/05/22,15:05,45.32
GOOG,2017/05/22,15:06,45.32
GOOG,2017/05/22,15:07,45.32
GOOG,2017/05/22,15:08,45.32
GOOG,2017/05/22,15:09,45.32
GOOG,2017/05/22,15:09,43.32
GOOG,2017/05/23,15:01,45.35
GOOG,2017/05/23,15:02,45.35
GOOG,2017/05/23,15:03,45.32
GOOG,2017/05/23,15:04,45.32
GOOG,2017/05/23,15:05,45.32
GOOG,2017/05/23,15:06,45.32
GOOG,2017/05/23,15:07,45.32
GOOG,2017/05/23,15:08,45.32
GOOG,2017/05/23,15:09,45.32
GOOG,2017/05/23,15:09,43.31
GOOG,2017/06/21,15:01,45.32
GOOG,2017/06/21,15:02,15.32
GOOG,2017/06/21,15:03,45.32
GOOG,2017/06/21,15:04,15.32
GOOG,2017/06/21,15:05,45.32
GOOG,2017/06/21,15:06,15.32
GOOG,2017/06/21,15:07,45.32
GOOG,2017/06/21,15:08,5.32
GOOG,2017/06/21,15:09,55.32
GOOG,2017/06/21,15:09,5.32
FCA,2017/06/21,15:09,0.32
FCA,2017/06/21,15:10,0.33
