2018/05/01,15:40,VS1,10.5,0.5
2018/05/01,15:41,VS1,10.5,0.5
2018/05/01,15:42,VS1,10.5,0.5
2018/05/01,15:43,VS1,10.5,0.5
2018/05/01,05:40,VS1,10.5,0.5
2018/05/01,05:41,VS1,10.5,0.5
2018/05/01,05:42,VS1,10.5,0.5
2018/05/01,05:43,VS1,10.5,0.5
2018/05/01,15:40,VS2,99.9,100.0
2018/05/01,15:41,VS2,100.0,0.5
2018/05/01,15:42,VS2,98.5,0.5
2018/05/01,15:43,VS2,90.5,0.5
2018/05/01,05:40,VS2,10.5,2.5
2018/05/01,05:41,VS2,20.5,0.5
2018/05/01,05:42,VS2,30.5,1.5
2018/05/01,05:43,VS2,10.4,1.5
2018/05/01,00:43,VS3,90.4,1.5
2018/05/01,01:43,VS3,90.4,1.5
2018/05/01,02:43,VS3,90.4,1.5
2018/05/01,03:43,VS3,90.4,1.5
2018/05/01,04:43,VS3,90.4,1.5
2018/05/01,05:43,VS3,90.4,1.5
2018/05/01,06:43,VS3,90.4,1.5
2018/05/01,07:43,VS3,9.4,1.5
2018/05/01,08:43,VS3,90.4,1.5
2018/05/01,09:43,VS3,90.4,1.5
2018/05/01,10:43,VS3,90.4,1.5
2018/05/01,11:43,VS3,90.4,1.5
2018/05/01,12:43,VS3,9.4,1.5
2018/05/01,13:43,VS3,90.4,1.5
2018/05/01,14:43,VS3,9.4,1.5
2018/05/01,15:43,VS3,8.4,1.5
2018/05/01,16:43,VS3,90.4,1.5
2018/05/01,17:43,VS3,90.4,1.5
2018/05/01,18:43,VS3,90.4,1.5
2018/05/01,19:43,VS3,9.4,1.5
2018/05/01,20:43,VS3,45.4,1.5
2018/05/01,21:43,VS3,9.4,1.5
2018/05/01,22:43,VS3,9.4,1.5
2018/05/01,23:43,VS3,8.5,1.5
2018/05/01,23:43,VS3,9.4,1.5

